"utterances","intent","answers"
"[""Some of my SPs don't know about My Connect"",""my sp's about my connect"",""my sp"",""Some of my SPeed don't know about My Connect?"" , ""Some of my ISP don't know about My Connect? "",""my ISP don't know about My Connect?"",""my experience connect"",""my isp about me""]","My SPs","[{""id"":""1"",""answer"":""<p>No worries! There is a self learning video and a very comprehensive guide to understand MY CONNECT. If you have it, you may please share it with the SPs. In case they find it difficult to understand you may take help from your training manager. If you want to see the video and guide click here &lt;link&gt;</p>"",""options"":[],""label"":""Some of my SPs don't know about My Connect"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/3a16d4c5-232d-4ba5-bf3f-9fcb62ea0bc1_en.mp3"",""file"":{""source"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/MyConnect.pdf"",""source-type"":""pdf""},""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Some-of-my-SPs-dont-know-about-My-Connect-mobile.m4v""}]"
"[""Will I have to enter the data twice in My Connect"", ""have to enter data twice in my connect"",""""enter data twice"",""twice data in my connect""]","Twice Data in My Connect","[{""id"":""1"",""answer"":""<p>No you don't need to…it’s a simplified process.</p>"",""options"":[],""label"":""Will I have to enter the data twice in My Connect?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/146b4ffc-91df-46ca-8f25-33f73c62b82d_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Will-I-have-to-enter-the-data-twice-in-My-Connect-mobile.m4v""}]"
"[""I don’t have leads? What do I do"",""when absence of leads then what can i do"",""I don t have leads What do I do"",""no leads how to check"",""how do i know my leads"",""I do not have loot its? What should I do?"",""I do not have leaves? What should I do?"",""I do not have lead? What should I do?"",""leads"",""I don’t have leads? What do I do?""]","Leads","[{""id"":""1"",""answer"":""<p>Leads are the basic raw material. There are multiple sources of leads 1) you can engage with the walk-in customers at branches and identify those who may be interested 2) leads that are generated by the SP 3) leads shared with you in the CRM centrally through various cross-sell campaigns. Please check your CRM leads 'received from YBL' section and the leads given under the cross sell campaigns (you will see these unde the name of the campaign). In case you are not able to see any leads, please check with your SPs if they are creating leads in YES Genie and if there is a technical issue please raise it to the central team through your manager.</p>"",""options"":[],""label"":""I donâ€™t have leads? What do I do?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/d50c2748-217c-4668-95e8-48054848492c_en.mp3""}]"
"[""Where can I get leads?"",""Where can i bring leads"",""leads are bring from where""]","Get Leads","[{""id"":""1"",""answer"":""<p>Leads are the basic raw material. There are multiple sources of leads 1) you can engage with the walk-in customers at branches and identify those who may be interested 2) leads that are generated by the SP 3) leads shared with you in the CRM centrally through various cross-sell campaigns. Please check your CRM leads 'received from YBL' section and the leads given under the cross sell campaigns (you will see these unde the name of the campaign). In case you are not able to see any leads, please check with your SPs if they are creating leads in YES Genie and if there is a technical issue please raise it to the central team through your manager.</p>"",""options"":[],""label"":""Where can I get leads?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/d1403fc1-0c95-4d90-945f-fce5632faba7_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Where-can-I-get-leads-mobile.m4v""}]"
"[""My Seller Activation is low, how do I increase it"",""how to increase seller activation when it was low"",""Activation is low, how should I increase it?"" , ""my Activation is low, how should I increase it?"" ,""channel Activation is low, how should I increase it?"" ,""my stellar Activation is slow, how  I increase it?"" ,""micellar activation is slow how I increase it my studies activation is slow how I increase it? ""]","Seller Activation","[{""id"":""1"",""answer"":""<p>Hmm....thats an important business lever. Don't worry I will help you. Three important actionable for helping sellers become active are, 1) continuous engagement with them 2) their understanding of the Max Life products 3) your strong knowled and pro-active support on all leads. So, connect with all your SPs, check if they need product refreshers, take help from your trainer and understand their month goals where the LI product can help them achieve their targets.</p>"",""options"":[],""label"":""My Seller Activation is low, how do I increase it?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/e488a00d-ac9f-4462-9c85-d921b4c786c2_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/My-Seller-Activation-is-low-how-do-I-increase-it-mobile.m4v""}]"
"[""How do I activate my SPs?"", ""how can i activate my sps"",""activate my sps"",""How do I activate my ISP?"",""can i activate my sp"",""sp activated "",""activated sp"",""my sts about my connect"",""my experience about my connect"",""]","Activate My SPs ","[{""id"":""1"",""answer"":""<p>Hmm....thats an important business lever. Don't worry I will help you. Three important actionable for helping sellers become active are, 1) continuous engagement with them 2) their understanding of the Max Life products 3) your strong knowled and pro-active support on all leads. So, connect with all your SPs, check if they need product refreshers, take help from your trainer and understand their month goals where the LI product can help them achieve their targets.</p>"",""options"":[],""label"":""My Seller Activation is low, how do I increase it?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/e488a00d-ac9f-4462-9c85-d921b4c786c2_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/My-Seller-Activation-is-low-how-do-I-increase-it-mobile.m4v""}]"
"[""My SPs sell other products but not LI"",""why my sps not sell li"",""My Spsl  another products but not LI? "",""My SPS sell other product but not LI?"",""my sps not alive"",""sps another product but not lie""]","LI","[{""id"":""1"",""answer"":""<p>These are good sellers..they know how to sell. You would need to engage with them regularly and take help from the trainer to build their conviction on the LI products.</p>"",""options"":[],""label"":""My SPs sell other products but not LI?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/52f90a62-1785-4bec-a74d-fab46d92c7f2_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/My-SPs-sell-other-products-but-not-LI-mobile.m4v""}]"
"[""I have some new SPs, how do I activate them?"", ""how to activate some other sps"", ""how to activate some other new sps"",""how to activate new Sps"",""New SP's Activation"",""I have some new XPs, how do I activate them?"" ,""I have some new SBI how do I activate them?"" , ""I have some new Species how do I activate them?""]","Activation of Some Other SPS","[{""id"":""1"",""answer"":""<p>Please ensure that the new SPs are trained on the products. If they are already trained, ask them to create leads in YES Genie and you can help them convert these leads. In case they are not trained ask the trainer to conduct a session on the products, conversation startes and objection handling so that they can create leads.</p>"",""options"":[],""label"":""I have some new SPs, how do I activate them?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/fc1ac809-5069-4b8f-8565-cd84de2f6409_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Ihave-some-new-SPs-how-do-I-activate-them-mobile.mp4""}]"
"[""About WPC/marx"",""What are Marx and WPC"",""watermark"",""meaning of wpc/marx"",""What are Marx and WPC and how they all define"",""wpc and marx define how"",""marx and wpc meaning"",""meaning of wpc"",""how are wpc defined"",""what are marks"",""what is wpc"",""how we define mass and wpc"",""how we define marks and wpc"",""define mass"",""define marks"",""how are marks wpt defined?"" ,""what is wpc"",""what is marks?"",""define wpc"",""what is themarks wpc defined"",""what are marx"",""what time marks"",""watermark"",""marks"",""watermarks and wpc"",""what is wpc"",""what is marx"",""define marx""]","WPC Definition","[{""id"":""1"",""answer"":""Marx is the unit in which Yes Bank measures its Life insurance sales. It is typically 40% of the premium, however can vary by product. Pls refer to the latest Marx chart for product wise Marx. WPC is the equivalent of Marx in Max Life terminology."",""options"":[],""label"":""How are Marx / WPC Defined ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/fc5977fd-0fea-4830-a451-71b3be961fc1_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-are-Marx-WPC-Defined-mobile.m4v""}]"
"[""How is the calculation for WPC done"", ""how to calculate the wpc"",""How do you calculate WPC"",""wpc calculation"",""calculation of wpc"",""How is the calculation for WPC dam ?"" , ""wpc 10 calculation? "",""wpc applicable for cm?"",""calculate wbc"",""calculation of wbc"",""how do you calculate wbc"",""calculate the wbc"",""i want to calculate wbc"",""how wpc can be calculated""]","Calculation of WPC","[{""id"":""1"",""answer"":""<p>Marx / WPC is calculated basis the type of product &amp; its case size basis the Marx grid by Yes Bank. Details of the currently active Marx grid is in the image.</p>"",""options"":[],""label"":""How is the calculation for WPC done ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/d4d97d3f-cf22-442c-bb35-38fd0ed37745_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-is-the-calculation-for-WPC-done-mobile..m4v""}]"
"[""Where all are Marx / WPC applicable"", ""Where all is WPC applicable"",""Marx or wpc applicability"",""where all are marx"", where all are marks"",""where is marx"",""where wpc applicable"",""wpc applicable""]","WPC Applicable","[{""id"":""1"",""answer"":""<p>All calculations like Goal sheet, Incentive, CMOB are done on basis of Marx/WPC</p>"",""options"":[],""label"":""Where all are Marx / WPC applicable ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/c2166253-ccd0-42be-b965-43d695457372_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Where-all-is-WPC-applicable-mobile.m4v""}]"
"[""How does WPC impact my goal sheet and incentives?"", ""How is the calculation for WPC done"",""will wpc impact my gols and incentive"",""wpc calculation"",""wpc impact"",""wpc impact slip and incentives""]","wpc","[{""id"":""1"",""answer"":""<p>All calculations like Goal sheet, Incentive, CMOB are done on basis of Marx/WPC</p>"",""options"":[],""label"":""How does WPC impact my goal sheet and incentives?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/242eb7f1-788c-474c-b00c-89fffc4b3841_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Is-WPC-applicable-for-CMOB-mobile.m4v""}]"
"[""Is WPC applicable for CMOB?"",""wpc goal sheet"",""google sheet is applicable for wpc?"",""is wpc applicable for girls seat ?"" , ""is wpc applicable for bowl seat ? "", ""is wpc applicable for gold sheet ? "", ""is wpc applicable for ball seat ?"",""wpc gold seat""]","WPC for Goal Sheet","[{""id"":""1"",""answer"":""<p>All calculations like Goal sheet, Incentive, CMOB are done on basis of Marx/WPC</p>"",""options"":[],""label"":""Is WPC applicable for goal sheet?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/242eb7f1-788c-474c-b00c-89fffc4b3841_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Is-WPC-applicable-for-CMOB-mobile.m4v""}]"
"[""Is WPC applicable for CMOB?"",""CMOB WPC"",""wbc applicability for cmob"",""is wpc applicable for si mob?"" ,""is wpc applicable for sim of?"",""seam of wpc""]","WPC for CMOB","[{""id"":""1"",""answer"":""<p>All calculations like Goal sheet, Incentive, CMOB are done on basis of Marx/WPC</p>"",""options"":[],""label"":""Where all are Marx / WPC applicable ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/c2166253-ccd0-42be-b965-43d695457372_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/Where-all-is-WPC-applicable-mobile.m4v""}]"
"[""What is the WPC multiplier Grid?"", ""Where can I see the WPC multiplier grid?"",""what is wps multiply agreed"",""where can i see the wpc multiple greet"",""where can i see the wpc multiplier breathe"",""where can i see the wpc multiple grade"",""what is wpc multiplier agreed?"", ""what is wpc multiplayer greet?"",""where can i see wpc multiplier grade"",""what is the wpc multiplier credit"",""tell me about multiplier greed"",""tell me about multiplayer grade"",""what is wpc grid multiplier""]","WPC Multiplier Grid","[{""id"":""1"",""answer"":""<p>WPC multiplier grid offers extra credit or lower credit depending on the product sold and its margin impact.</p>"",""options"":[],""label"":""What is the WPC multiplier Grid?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/3239b2ec-780a-4bde-b70a-ae6debf980cb_en.mp3"",""file"":{""source"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/YBLIncentiveQ2FY22_Field_slide3n4.pdf"",""source-type"":""pdf""},""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-the-WPC-multiplier-Grid-mobile.mp4""}]"
"[""What are the extra credits and dings in the incentive scheme?"",""What are the extra credits in the incentive scheme?"",""Where can I see the extra credits in the incentive scheme?"",""what are the things in the incentive scheme""]","Extra Credits and Dings ","[{""id"":""1"",""answer"":""<p>There are some extra credits on offer for selling riders and Par products. Please refer to the image for extra credits.</p>"",""options"":[],""label"":""What are the extra credits and dings in the incentive scheme?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/3897477c-f248-451c-a978-8c1489cdc67a_en.mp3"",""file"":{""source"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/YBLIncentiveQ2FY22_Field_slide5.pdf"",""source-type"":""pdf""},""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-are-the-extra-credits-and-dings-in-the-incentive-scheme-mobile.m4v""}]"
"[""What are the dings in the incentive scheme?"",""Where can I see the dings in the incentive scheme?"",""What are the extra credits endings in the incentive scheme?""]","Dings and Incentive Scheme","[{""id"":""1"",""answer"":""<p>There are some dings for selling higher share of ULIP. Please refer to the image for details.</p>"",""options"":[],""label"":""What are the dings in the incentive scheme?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/03ff146d-6859-42cf-b68a-d6c69212e03a_en.mp3"",""file"":{""source"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/YBLIncentiveQ2FY22_Field_slide5.pdf"",""source-type"":""pdf""},""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-are-the-dings-in-the-incentive-scheme-mobile.m4v""}]"
"[""Why do we have extra credit and dings?"" ,""what is extra credit and dings"",""Why do we have extra credit endings? "", ""Why do we have extra credit and things?"",""what is extra credit endings""]","Extra Credit and Dings","[{""id"":""1"",""answer"":""<p>In order to maximize our profit margins.</p>"",""options"":[],""label"":""Why do we have extra credit and dings?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/8ae6f85d-2d71-4e1d-a269-23ba23c9e280_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Why-do-we-have-extra-credit-and-dings-mobile.m4v""}]"
"[""What are the key components of the Incentive Scheme"",""incentive scheme key components"",""How do I maxmize my incentives?"",""how do i maxmize my incentives"",""how do i maximize my incentives"",""what are the components""]","Incentive Scheme","[{""id"":""1"",""answer"":""<p>Key components are sales payout based on wpc and wpc multiplier, seller activation payout, NOP payout, persistency payout and LTRIS. Incentive can be maxmized by maximizing each of the above payouts.</p>"",""options"":[],""label"":""What are the key components of the Incentive Scheme?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/ca8d010e-06fd-46ca-a456-d8cb57e703cb_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-are-the-key-components-of-the-Incentive-Scheme-mobile.m4v""}]"
"[""calculation of incentive"",""incentive calculation"",""process to calculate incentive"",""procedure to calculate incentive"",""How is incentive caclulated?""]","Calculation of Incentive","[{""id"":""1"",""answer"":""<p>Net Payout = (Sales / Production Payout + NOP Payout + Seller Activation Payout) + 13M Persistency payout , + 15M Persistency payout.</p>"",""options"":[],""label"":""How is incentive caclulated?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/c70e3852-b2f1-44de-ab38-0aa15add9440_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-is-incentive-caclulated-mobile.m4v""}]"
"[""What is the definition of Inactive Seller Activation ?"",""define inactive sellar activation"",""about inactive sellar activation"",""definition of Inactive cell Activation ?"" , ""define inactive seller activation?"" , ""meaning of inactive  cell activation?"",""define inactive seller activation"",""define inative stellar activation"",""How do we term a seller as Active ?""]","Incentive Seller Activation","[{""id"":""1"",""answer"":""<p>Sellers with no business contribution in any of the months of last quarter i.e. AMJ'21 (in case of JAS'21), If activated will be counted as active seller. The case size should be basis applicable grid. Please refer to JAS'21 incentive deck for role based payout grid.</p>"",""options"":[],""label"":""What is the definition of Inactive Seller Activation ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/34e4aa3d-8662-46b3-a34a-670f7c5c5655_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-the-definition-of-Inactive-Seller-Activation-mobile.m4v""}]"
"[""How to calculate seller Activation ?"",""calculate seller activation"",""procedure to calculate seller activation"",""How to calculate salary Activation ? "",""calculate salary Activation ?"", ""calculate seller Activation ?""]","Calculate Seller Activation","[{""id"":""1"",""answer"":""<p>Activation% = Active seller / Total Inactive seller base</p>"",""options"":[],""label"":""How to calculate seller Activation ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/01ba40a6-49a3-408d-b571-6b6d45dc539a_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-to-calculate-seller-Activation-mobile.m4v""}]"
"[""How can I know my Inactive seller base?"",""inactive seller base"",""I want to check inactive seller base"",""How can I know my Inactive silane base ?"" , ""How can I know my Inactive sizzler base ?"",""how can I know my inactive seller base""]","Incentive Seller Base","[{""id"":""1"",""answer"":""<p>Refer to the MIS shared by BPMA</p>"",""options"":[],""label"":""How can I know my Inactive seller base ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/18bcadba-ab06-4396-add4-f33ef2b20f6a_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-can-I-know-my-Inactive-seller-base-mobile.m4v""}]"
"[""What is Inactive seller?"",""Inactive Seller meaning"",""about Inactive Seller"",""meaning of  Elective seller ? ""]","Incentive Seller","[{""id"":""1"",""answer"":""<p>Sellers with no business contribution in any of the months of last quarter i.e. AMJ'21 (in case of JAS'21)</p>"",""options"":[],""label"":""What is Inactive seller ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/580691e8-3596-48d7-8d21-e231f2603537_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-Inactive-seller-mobile.m4v""}]"
"[""How is Inactive seller activation calculated?"",""Incentive Seller Activation Calculation"",""procedure for calculating inactive sellar activation"",""calculation part for incentive sellar activation"",""How is Inactive select activation calculated ?"" , ""How is Inactive cell activation calculated ?"" , ""calculated inactive seller activation?"" ,""calculate inactive cell activation?""]","Inactive Seller Activation Calculate","[{""id"":""1"",""answer"":""<p>Activation% = Active seller / Total Inactive seller base</p>"",""options"":[],""label"":""How is Inactive seller activation calculated ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/0e2c4b60-844b-4302-a186-413f9cec8a92_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-is-Inactive-seller-activation-calculated-mobile.m4v""}]"
"[""What is persistency payout?"", ""How is 13M & 15M Persistency payout calculated?"",""Where can I see my persistency?"",""meaning of persistency payout"",""define persistence affair out?"", ""define persistence api out? "", ""define persistence ke out?"",""meaning of consistency payout?"" , ""meaning of persistency pay out?"",""meaning of consistency out""]","Persistency Payout","[{""id"":""1"",""answer"":""<p>If you meet your 13th and 15th persistency payouts, you will be eligible for extra incentive as per the MIS shared by the persistency team.</p>"",""options"":[],""label"":""What is persistency payout?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/c36ddcab-8d53-4bfc-ac58-e186666b89d9_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-persistency-payout-mobile.m4v""}]"
"[""How is Counter share calculated?"",""how we will Counter share calculate?"",""Count share calculation"",""counter share caloculation"",""how we will calculate counter share"",""calculate counter share"",""counter share calculation""]","Counter Share","[{""id"":""1"",""answer"":""<p>Counter share is the mix of business done by Maxlife on total sales of Yes bank (including HDFC / SBI where ever applicable) Counter share formula = Sales of Max Life Insurance / Total sales of YES bank (including HDFC / SBI where applicable).</p>"",""options"":[],""label"":""How is Counter share calculated ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/08da3b83-4ec6-4d35-a7fd-8e4f6f5b9b8b_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-is-Counter-share-calculated-mobile.m4v""}]"
"[""What is Counter share ?"", ""Counter share"",""counter share meaning"",""about counter share"",""meaning of the counter share""]","Define Counter Share","[{""id"":""1"",""answer"":""<p>Counter share is the mix of business done by Maxlife on total sales of Yes bank (including HDFC / SBI where ever applicable).</p>"",""options"":[],""label"":""What is Counter share ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/d3409720-da33-4c87-a7a6-0be38cbe0105_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/What-is-Counter-share-mobile.m4v""}]"
"[""What is LTR? / What is Long Term Retention Incentive Scheme ?"",""what is ltr"",""tell me about ltr"",""meaning of ltr"",""define ltr"",""ltr""]","LTR","[{""id"":""1"",""answer"":""<p>LTR is applicable for all Employees (All vintage)<br>30% of the incentive earned in a particular quarter would be put on hold and will be paid as extra of the amount held, after<br>completion of next 2 quarters basis below quarterly plan achievement qualification grid.</p>"",""options"":[],""label"":""What is LTR? / What is Long Term Retention Incentive Scheme ?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/c4cff4ad-408d-4cf1-b336-0bca181da5c9_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-LTR-What-is-Long-Term-Retention-Incentive-Scheme-mobile.m4v""}]"
"[""How is LTR calculated?"",""process to calculate ltr"",""procedure to calculate ltr"",""how is ldr calculated"",""how is adr calculated"",""how is ntr calculated"",""how to calculate ltr"",""how to calculate ntr"",""how to calculate sdr""]","Calculation of LTR","[{""id"":""1"",""answer"":""<p>LTR is calculated basis achievement %, if for next 2 quarters target vs ach% is 80% or greater, payout will be 150% of the held amount.&nbsp;<br>if for any 1 quarter in next 2 quarters target vs ach% is 80% or greater, payout will be 125% of the held amount.&nbsp;<br>if target vs ach% is less than 80% in both quarters, payout will be 105% of the held amount.</p>"",""options"":[],""label"":""How is LTR calculated?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/197df2d9-d984-471e-bd54-4ee19c14f002_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-is-LTR-calculated-mobile.m4v""}]"
